User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Deckiller	1228	35	0	80	14	2	300	46	0	0	0	1705
Decltype	349	4	0	2	0	0	22	5	2	0	3	387
Decumanus	42	0	0	3	0	0	12	0	0	0	0	57
Deiz	951	15	0	162	8	3	392	20	0	0	0	1551
Dekimasu	1014	59	0	13	1	0	15	0	0	0	1	1103
Delirium	3467	23	0	20	11	0	305	18	0	0	0	3844
Delldot	1584	23	0	15	6	1	606	9	0	0	0	2244
Deltabeignet	836	1	0	5	6	0	130	2	0	0	0	980
Demi	151	32	0	2	1	0	51	17	0	0	0	254
Denelson83	1135	18	0	57	12	11	39	6	0	0	0	1278
