User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Dppowell	4	0	5	0	0	112	6	0	0	0	127
DrBob	17	1	0	0	0	7	0	0	0	0	25
DrKiernan	1198	16	30	4	3	118	7	0	0	0	1376
DragonflySixtyseven	18648	300	316	33	7	4009	178	118	0	0	23609
Dragons flight	607	62	102	34	0	110	28	0	0	1	944
Dravecky	332	3	69	2	0	0	0	0	0	0	406
Dreadstar	900	64	214	11	13	1729	96	0	0	0	3027
Drini	9597	93	178	38	1	4445	232	1	0	8	14593
DropDeadGorgias	340	3	24	1	0	90	5	0	0	0	463
Dsmdgold	795	11	2	0	0	3	0	0	0	0	811
Duja	875	136	20	9	2	72	9	0	0	0	1123
Duk	3834	30	61	15	2	129	25	0	0	1	4097
Duncharris	986	57	47	10	0	92	20	0	0	0	1212
Durin	2448	7	28	13	0	168	15	0	0	0	2679
Durova	24	1	211	37	11	388	66	0	0	0	738
Dustimagic	215	2	4	2	0	50	8	1	0	0	282
Dvyost	56	0	0	0	0	11	1	0	0	0	68
