User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Dannyisme	5	0	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	683	18	0	20	17	3	180	29	0	0	0	950
DarkFalls	2667	143	0	301	37	76	765	44	6	0	7	4046
Darkoneko	2	0	3	0	0	0	1	0	0	1	0	7
Darthgriz98	250	4	0	5	0	0	115	2	0	0	0	376
Darwinek	2183	13	0	69	5	0	191	6	0	0	0	2467
Dave souza	79	3	0	14	2	0	554	20	5	0	0	677
Davemeistermoab	4	0	0	1	0	1	3	1	0	0	1	11
Davewild	3078	40	0	3	3	0	386	1	0	0	0	3511
Daveydweeb	134	1	0	2	0	0	4	1	0	0	0	142
David D.	26	4	0	12	1	5	11	2	1	0	0	62
David Eppstein	2235	29	0	35	7	1	46	2	1	0	0	2356
David Fuchs	986	33	0	66	5	12	87	8	0	0	0	1197
David Gerard	527	43	1	70	7	1	1478	357	0	0	2	2486
David Kernow	635	5	0	45	0	0	0	0	0	0	0	685
David Levy	937	122	0	228	58	3	142	10	2	0	7	1509
David Newton	54	3	0	4	0	0	12	12	0	0	0	85
David.Monniaux	523	60	0	100	13	0	222	30	3	0	0	951
DavidLevinson	35	52	0	9	0	0	9	0	0	0	0	105
DavidWBrooks	1204	1	0	13	2	1	94	0	0	0	0	1315
Davidcannon	155	57	0	30	4	0	137	26	1	0	0	410
Davidgothberg	75	59	0	99	6	34	19	6	0	0	0	298
Davidruben	35	0	0	7	1	1	79	2	0	0	0	125
Davodd	191	29	0	3	3	1	23	1	0	0	0	251
Dbachmann	429	30	0	137	41	20	206	20	1	0	0	884
Dbenbenn	6085	109	0	260	583	0	26	7	0	0	0	7070
Dcoetzee	341	46	0	10	4	0	51	11	0	0	1	464
Ddstretch	13	0	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	593	23	0	31	3	3	169	13	13	0	34	882
DeadEyeArrow	934	14	0	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	0	17	5	0	420	80	0	0	0	1739
Deb	13170	55	0	26	2	0	316	4	1	0	0	13574
Deckiller	1228	35	0	80	14	2	300	46	0	0	0	1705
