User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Canterbury Tail	1245	7	0	58	7	8	370	13	9	0	0	1717
Cantthinkofagoodname	2	0	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	0	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	0	3	0	0	23	3	0	0	0	650
Carabinieri	413	7	0	4	3	0	3	2	0	0	0	432
Carbonite	188	3	0	28	10	0	226	22	0	0	0	477
Carcharoth	33	75	0	2	1	0	1	2	0	0	0	114
Caribbean H.Q.	327	11	0	53	10	6	224	18	0	0	0	649
Carioca	2372	10	0	6	1	0	9	0	0	0	0	2398
Carlosguitar	2924	20	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10563	129	0	27	2	0	66	6	1	0	0	10794
Carnildo	2388	97	0	89	17	2	59	21	0	0	3	2676
Cary Bass	1	2	14	5	1	1	1	2	0	2	0	29
Casliber	94	46	7	121	4	18	110	4	0	0	2	406
Catbar	28	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	423	28	54	892	36	0	0	78	4117
Causa sui	1691	40	0	87	53	18	255	17	2	0	1	2164
Cbl62	9	0	0	2	0	0	0	0	0	0	0	11
Cbrown1023	3423	75	0	400	72	7	205	32	0	0	8	4222
Cburnett	48	18	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	36	5	0	6	6	0	215	328	638
Cedrus-Libani	101	4	0	1	0	0	0	0	0	0	0	106
Celestianpower	735	9	0	19	3	0	170	70	0	0	0	1006
Cenarium	1412	60	0	347	139	159	125	4	6	0	17	2269
Centrx	17213	402	0	1002	947	13	1333	212	0	0	0	21122
CesarB	3606	141	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1778	47	0	4	0	0	15	2	0	0	0	1846
Chadloder	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5156	13	0	69	8	0	187	14	0	0	0	5447
Chamal N	2	0	0	3	0	1	4	1	0	0	0	11
Chancemill	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1199	31	0	3	1	0	127	20	0	0	0	1381
Chase me ladies, I'm the Cavalry	2161	37	0	421	26	48	809	31	13	0	1	3547
Chaser	1986	86	0	279	41	34	839	111	5	0	8	3389
Ched Davis	114	3	0	3	0	0	8	1	0	0	4	133
Chell and the cake	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4638	194	0	69	14	1	135	30	0	0	1	5082
Chillum	1457	25	0	49	11	7	622	41	67	0	8	2287
Chmod007	13	2	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	1	0	0	2	1	0	0	0	68
Choess	7	4	0	0	0	0	0	0	0	0	0	11
Cholmes75	4580	10	0	26	0	0	112	3	0	0	0	4731
