User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	91	0	0	0	2	1	0	41	4	0	0	0	139
Bjelleklang	642	7	0	0	4	0	3	12	2	0	0	0	670
Bkell	1273	13	0	0	0	0	0	1	0	0	0	0	1287
Bkonrad	742	108	0	0	3	0	0	145	2	0	0	0	1000
Black Falcon	4650	75	0	0	3	1	0	29	1	0	0	0	4759
Black Kite	5420	152	0	0	416	51	54	1334	104	30	0	15	7576
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	679	6	0	0	5	0	0	281	12	7	0	1	991
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1535	25	0	0	242	5	33	3067	129	164	0	0	5200
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	2	0	0	0	0	0	0	0	0	0	0	0	2
Bobak	230	12	0	0	160	6	9	753	11	11	0	0	1192
Bobet	4965	181	0	0	56	18	1	224	10	0	0	0	5455
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3164	66	0	0	28	10	1	108	13	0	0	0	3390
Bongwarrior	9531	61	0	0	475	15	119	4103	35	121	0	2	14462
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	598	25	0	0	54	19	1	117	28	0	0	0	842
BorgQueen	4084	49	0	0	1231	128	49	3574	168	22	0	0	9305
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	23	2	0	0	14	1	0	28	2	0	0	0	70
BozMo	290	6	0	0	18	3	1	145	15	0	0	0	478
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	0	0	65	19	3	1211	79	0	0	0	6273
Brandon	3875	77	0	0	109	39	26	726	35	38	0	17	4942
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	0	0	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	0	0	74	5	4	105	8	0	0	0	199
Brian	6	2	0	0	3	0	1	2	1	0	0	0	15
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	931	79	0	0	258	47	4	2144	109	1	0	0	3573
Brianga	2305	9	0	0	1	1	1	459	7	5	0	0	2788
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	192	9	0	0	12	0	1	27	11	0	0	4	256
Brockert	189	51	0	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	0	62	67	0	153	40	0	0	0	1696
Brookie	3998	53	0	0	212	3	0	229	4	0	0	0	4499
BrownHairedGirl	1539	123	0	0	147	7	9	134	16	2	0	0	1977
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bubba hotep	2638	69	0	0	38	3	2	779	12	18	0	4	3563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	647	22	0	0	66	6	0	224	8	0	0	0	973
Buckshot06	336	4	0	0	5	0	1	10	0	1	0	0	357
Bumm13	843	39	0	0	6	1	0	32	4	2	0	5	932
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	2829	8	0	0	36	1	3	42	30	22	0	2	2973
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	9071	77	0	0	229	6	8	1695	34	24	0	0	11144
C12H22O11	1351	5	0	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	64	0	0	683	49	0	30	22	0	0	1	4346
CBM	4365	143	0	0	241	96	22	64	26	2	0	3	4962
CIreland	1491	35	0	0	187	13	25	394	18	13	0	1	2177
CJ	1927	79	0	0	112	22	3	277	18	0	0	1	2439
CJCurrie	401	19	0	0	126	8	2	127	13	0	0	0	696
CJLL Wright	1864	30	0	0	59	3	7	251	4	0	0	0	2218
CLW	13900	54	0	0	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	60	16	0	0	2	0	0	4	0	1	0	0	83
CRGreathouse	11	0	0	0	0	0	0	1	1	1	0	0	14
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	17	0	0	61	34	0	178	10	0	0	0	892
CactusWriter	1315	108	0	0	19	2	0	47	4	6	0	4	1505
Cacycle	186	11	0	0	26	2	1	13	1	0	0	1	241
Cailil	119	3	0	0	33	0	2	60	12	0	0	0	229
