User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
DVD R W	6129	53	0	54	17	7	962	21	0	0	3	7246
DaGizza	941	1	0	8	4	1	54	3	0	0	0	1012
Dale Arnett	69	1	0	2	0	0	4	0	0	0	0	76
Dan100	294	16	0	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	0	6	0	0	2	0	0	0	0	113
DanMS	65	0	0	2	1	0	0	0	0	0	0	68
Danaman5	284	4	0	6	0	0	4	4	0	0	1	303
Daniel	4953	266	0	632	41	66	567	76	4	0	13	6618
Daniel Case	2407	34	22	305	16	8	5030	174	36	0	10	8042
Daniel J. Leivick	764	7	0	19	1	0	83	5	2	0	0	881
Daniel Olsen	711	1	0	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	3	0	0	2	0	2	0	0	0	0	61
DanielCD	243	1	0	15	11	0	37	2	0	0	0	309
Dank	11367	93	0	138	7	1	2756	13	18	0	1	14394
Danny	1072	126	0	26	9	0	105	29	0	4	7	1378
Dannyisme	5	0	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	683	18	0	20	17	3	180	29	0	0	0	950
DarkFalls	2685	143	0	302	37	79	779	44	8	0	7	4084
Darkoneko	3	0	3	0	0	0	1	0	0	1	0	8
Darthgriz98	250	4	0	5	0	0	115	2	0	0	0	376
Darwinek	2195	14	0	71	5	1	193	6	0	0	0	2485
Dave souza	79	3	0	14	2	0	561	20	5	0	0	684
Davemeistermoab	5	0	0	1	0	1	3	1	0	0	1	12
Davewild	3079	40	0	3	3	0	387	1	0	0	0	3513
Daveydweeb	134	1	0	2	0	0	4	1	0	0	0	142
David D.	26	4	0	12	1	5	11	2	1	0	0	62
David Eppstein	2285	34	0	37	7	1	50	2	2	0	0	2418
David Fuchs	1008	34	0	69	5	12	89	8	0	0	0	1225
David Gerard	527	43	1	71	7	1	1478	357	0	0	2	2487
David Kernow	635	5	0	45	0	0	0	0	0	0	0	685
David Levy	959	123	0	240	58	3	146	10	3	0	7	1549
David Newton	54	3	0	4	0	0	12	12	0	0	0	85
David.Monniaux	523	60	0	100	13	0	222	30	3	0	0	951
DavidLevinson	35	52	0	9	0	0	9	0	0	0	0	105
DavidWBrooks	1204	1	0	13	2	1	95	0	0	0	0	1316
Davidcannon	155	57	0	30	4	0	137	26	1	0	0	410
Davidgothberg	102	61	0	206	8	48	27	7	2	0	3	464
Davidruben	35	0	0	7	1	1	80	2	0	0	0	126
Davodd	191	29	0	3	3	1	25	1	0	0	0	253
Dbachmann	435	30	0	142	41	20	207	20	1	0	0	896
Dbenbenn	6085	109	0	260	583	0	26	7	0	0	0	7070
Dcoetzee	341	46	0	10	4	0	51	11	0	0	1	464
Ddstretch	13	0	0	20	5	6	207	20	6	0	0	277
