User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	44	78	0	0	4	3	1	1	2	0	0	0	133
Caribbean H.Q.	377	16	0	0	75	10	9	259	20	0	0	1	767
Carioca	2953	12	0	0	7	1	1	10	0	0	0	0	2984
Carlosguitar	2924	20	0	0	30	1	3	167	11	0	0	0	3156
Carlossuarez46	10577	130	0	0	27	2	0	66	6	1	0	0	10809
Carnildo	2399	98	0	0	98	20	2	65	23	0	0	3	2708
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	142	97	30	0	233	27	51	119	6	1	0	15	721
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	2	0	0	0	0	0	0	0	0	0	0	2	4
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	1715	40	0	0	91	53	20	258	17	3	0	1	2198
Cbl62	41	1	0	0	9	0	0	0	0	0	0	0	51
Cbrown1023	3426	78	0	0	404	73	7	206	32	0	0	9	4235
Cburnett	51	18	0	0	6	2	0	14	5	0	0	0	96
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	745	9	0	0	19	3	0	170	70	0	0	0	1016
Cenarium	1809	81	2	0	377	145	201	137	4	8	0	34	2798
Centrx	17226	406	0	0	1007	947	13	1334	212	0	0	0	21145
Ceranthor	243	2	0	0	0	0	0	69	0	2	0	0	316
CesarB	3606	142	0	0	123	49	0	942	212	0	0	0	5074
Ceyockey	1786	49	0	0	4	0	0	16	2	0	0	0	1857
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	150	4	0	0	81	5	23	82	2	2	0	5	354
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1980	49	0	0	5	1	0	140	20	0	0	0	2195
Chase me ladies, I'm the Cavalry	4211	101	132	1	517	32	56	1110	46	27	0	5	6238
Chaser	2362	133	6	0	341	45	42	895	146	30	0	15	4015
Ched Davis	130	9	0	0	4	0	0	14	4	0	0	4	165
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4738	220	1	0	86	15	5	142	30	0	0	1	5238
Chillum	1494	27	0	0	61	12	7	742	52	76	0	10	2481
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	12	10	0	0	0	0	0	0	0	0	0	0	22
Cholmes75	4637	10	0	0	26	0	0	112	3	0	0	0	4788
Chris 73	1935	15	0	0	63	8	1	718	30	3	0	0	2773
Chris G	6917	185	1	0	254	15	39	2951	70	232	0	11	10675
Chris Roy	3	0	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	0	51	8	0	210	21	0	0	0	1432
ChrisTheDude	791	20	0	0	7	3	0	22	2	0	0	0	845
Chrislk02	4297	61	0	0	136	21	8	1632	91	12	0	5	6263
Christine (WMF)	1	0	1	0	0	0	0	0	0	0	0	0	2
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	0	43
Christopher Parham	747	10	0	0	4	2	0	24	1	0	0	0	788
Christopher Sundita	62	39	0	0	10	4	0	17	2	0	0	0	134
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	0	4	3	0	31	2	0	0	0	383
Chuq	217	19	0	0	13	2	1	93	6	0	0	0	351
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	235	10	0	0	2	5	1	4	0	0	6	5	268
Circeus	1753	8	0	0	50	27	0	156	13	0	0	0	2007
Cirt	25781	272	15	0	1094	22	181	9245	65	41	0	23	36739
Citicat	734	19	0	0	24	1	0	36	4	0	0	0	818
Ck lostsword	310	4	0	0	13	1	5	308	16	0	0	0	657
Ckatz	1554	74	108	0	240	7	60	1214	18	38	0	5	3318
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	20	4	0	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	759	46	1	0	39	7	4	223	19	4	0	0	1102
Closedmouth	26533	192	94	0	169	5	27	2468	52	107	0	49	29696
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7311	93	5	0	452	24	9	471	22	5	0	0	8392
Cobi	53	1	0	0	21	0	0	8	4	0	0	4	91
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
Coffee	1537	182	4	0	190	10	172	465	18	95	0	14	2687
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6799	46	0	0	2	18	1	3	0	0	0	0	6869
Colds7ream	173	10	0	0	2	1	0	2	0	0	0	2	190
Commander Keane	4880	232	1	0	42	22	1	156	29	1	0	3	5367
Connormah	28	7	93	0	74	4	58	518	5	30	0	1	818
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	739	23	0	0	46	3	1	359	36	1	0	0	1208
Conti	465	45	0	0	12	38	3	73	3	0	0	1	640
Cool Hand Luke	955	582	1	0	65	12	21	96	18	0	0	0	1750
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
Coren	878	24	44	1	60	7	8	252	49	9	0	2	1334
Courcelles	43587	548	2129	4	4958	735	672	1900	34	93	0	3471	58131
Cowman109	433	36	0	0	101	43	4	360	44	0	0	0	1021
Craigy144	3099	11	0	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	611	9	16	0	70	15	8	804	54	9	0	4	1600
Crazytales	167	15	0	0	19	1	2	117	18	0	0	0	339
Cremepuff222	176	6	0	0	3	2	1	98	5	0	0	0	291
Croat Canuck	83	3	0	0	1	1	0	5	1	0	0	0	94
Crum375	187	18	1	0	98	7	24	291	13	2	0	0	641
Cryptic	9383	238	0	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	0	156	28	0	150	13	0	0	0	5619
Cuchullain	434	90	0	0	16	1	4	51	0	0	0	0	596
Curps	5148	166	0	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	0	2
Cyde	19105	111	0	0	258	32	2	830	168	0	0	0	20506
Cydebot	44608	0	0	0	0	0	0	0	0	0	0	0	44608
Cyp	3	0	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1641	102	0	0	30	13	0	72	8	0	0	0	1866
