User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
ChrisGriswold	1126	16	0	0	51	8	0	210	21	0	0	0	1432
ChrisTheDude	804	20	0	0	7	3	0	24	2	0	0	0	860
Chrislk02	4297	61	0	0	136	21	8	1632	91	12	0	5	6263
Christine (WMF)	1	0	1	0	0	0	0	0	0	0	0	0	2
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	0	43
Christopher Parham	747	10	0	0	4	2	0	24	1	0	0	0	788
Christopher Sundita	62	39	0	0	10	4	0	17	2	0	0	0	134
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	0	4	3	0	31	2	0	0	0	383
Chuq	217	19	0	0	13	2	1	93	6	0	0	0	351
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	235	10	0	0	2	5	1	4	0	0	6	5	268
Circeus	1753	8	0	0	50	27	0	156	13	0	0	0	2007
Cirt	26772	294	19	0	1202	22	196	9505	69	47	0	24	38150
Citicat	734	19	0	0	24	1	0	36	4	0	0	0	818
Ck lostsword	310	4	0	0	13	1	5	308	16	0	0	0	657
Ckatz	1566	74	129	0	242	7	61	1243	18	38	0	5	3383
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	20	4	0	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	759	46	1	0	39	7	4	223	19	4	0	0	1102
Closedmouth	26659	193	102	0	176	6	33	2575	53	111	0	51	29959
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7311	93	5	0	452	24	9	471	22	5	0	0	8392
Cobi	53	1	0	0	21	0	0	8	4	0	0	4	91
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
Coffee	1537	182	4	0	190	10	172	465	18	95	0	14	2687
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6799	46	0	0	2	18	1	3	0	0	0	0	6869
Colds7ream	173	10	0	0	2	1	0	2	0	0	0	2	190
Commander Keane	4880	232	1	0	42	22	1	156	29	1	0	3	5367
Connormah	32	9	96	0	77	4	61	590	5	34	0	1	909
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	741	25	0	0	46	3	1	359	36	1	0	0	1212
Conti	465	45	0	0	13	38	3	73	3	0	0	1	641
