User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Chillum	1467	26	0	54	11	7	669	43	70	0	8	2355
Chmod007	13	2	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	1	0	0	2	1	0	0	0	68
Choess	7	4	0	0	0	0	0	0	0	0	0	11
Cholmes75	4580	10	0	26	0	0	112	3	0	0	0	4731
Chris 73	1933	15	0	59	8	1	709	30	3	0	0	2758
Chris G	6866	156	0	248	15	38	2912	70	225	0	9	10539
Chris Roy	3	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	687	17	0	6	1	0	16	2	0	0	0	729
Chrislk02	4100	61	0	134	21	8	1632	91	12	0	5	6064
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	43
Christopher Parham	604	6	0	4	2	0	24	1	0	0	0	641
Christopher Sundita	62	39	0	8	4	0	17	2	0	0	0	132
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	4	3	0	31	2	0	0	0	383
Chuq	215	19	0	13	2	1	93	6	0	0	0	349
CieloEstrellado	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	214	10	0	2	5	1	4	0	0	6	3	245
Circeus	1737	8	0	50	27	0	155	13	0	0	0	1990
Cirt	7500	62	0	394	19	54	3938	30	15	0	2	12014
Citicat	689	15	0	21	1	0	34	4	0	0	0	764
Ck lostsword	308	4	0	13	1	5	308	16	0	0	0	655
Ckatz	1321	51	0	184	5	38	769	18	17	0	1	2404
Clarkk	23	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	2	1	0	12	1	1	0	1	18
ClockworkLunch	20	4	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	758	46	0	38	7	4	214	19	3	0	0	1089
Closedmouth	14936	99	0	68	2	2	923	28	39	0	32	16129
CloudNine	422	15	0	24	1	2	32	2	0	0	0	498
ClueBot	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	6526	91	0	421	24	8	392	20	4	0	0	7486
Cobi	50	0	0	1	0	0	3	1	0	0	1	56
Coelacan	1194	30	0	85	10	1	845	53	0	0	0	2218
Coffee	863	56	0	91	7	36	237	9	0	0	4	1303
Coffeedrinker87	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	46	0	2	18	1	3	0	0	0	0	6868
Colds7ream	108	2	0	1	1	0	2	0	0	0	2	116
Commander Keane	4768	219	0	38	22	0	138	29	0	0	1	5215
Conscious	13449	65	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	732	22	0	42	3	1	354	36	1	0	0	1191
Conti	463	41	0	12	38	2	73	3	0	0	1	633
Cool Hand Luke	938	573	0	61	12	20	71	16	0	0	0	1691
Cool3	32	0	0	3	2	0	21	1	2	0	3	64
Coralmizu	168	2	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	235	25	11	494	60	0	0	0	12109
Coren	850	22	37	54	7	6	183	35	3	0	1	1198
Cowman109	431	36	0	101	43	4	360	44	0	0	0	1019
Craigy144	3099	11	0	8	3	1	38	0	0	0	0	3160
Crazycomputers	443	8	0	54	15	6	714	40	2	0	3	1285
Crazytales	156	15	0	18	1	2	117	18	0	0	0	327
Cremepuff222	176	6	0	3	2	1	96	4	0	0	0	288
Croat Canuck	83	3	0	1	1	0	5	1	0	0	0	94
Crum375	177	18	0	89	6	9	224	12	0	0	0	535
Cryptic	9383	238	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	156	28	0	150	13	0	0	0	5619
Cuchullain	312	53	0	12	0	3	38	0	0	0	0	418
Curps	5148	166	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	2
Cyde	19067	106	0	258	32	2	829	168	0	0	0	20462
Cydebot	11798	0	0	0	0	0	0	0	0	0	0	11798
Cyp	3	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1621	101	0	26	13	0	69	8	0	0	0	1838
D. Recorder	172	18	0	2	0	0	34	2	0	0	0	228
DDima	524	9	0	1	0	0	1	0	0	0	0	535
DESiegel	892	112	0	9	2	0	40	29	0	0	0	1084
DGG	8865	206	0	179	6	10	110	10	6	0	1	9393
DJ Clayworth	6089	31	0	39	11	0	331	18	3	0	0	6522
DMacks	5046	52	0	303	13	45	783	11	59	0	0	6312
DO11.10	417	28	0	2	0	0	2	1	0	0	2	452
DVD R W	6129	53	0	54	17	7	962	21	0	0	3	7246
DaGizza	904	1	0	8	4	1	54	3	0	0	0	975
Dale Arnett	69	1	0	2	0	0	4	0	0	0	0	76
Dan100	294	16	0	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	0	6	0	0	2	0	0	0	0	113
DanMS	65	0	0	2	1	0	0	0	0	0	0	68
Danaman5	284	4	0	6	0	0	4	4	0	0	1	303
Daniel	4953	266	0	631	41	65	566	76	4	0	13	6615
Daniel Case	2357	34	21	277	16	8	4626	160	32	0	9	7540
