User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	3896	12	1	0	56	1	3	72	52	61	0	3	4157
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	9777	81	7	0	248	6	8	1775	37	29	0	0	11968
C12H22O11	1351	5	0	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3500	64	0	0	683	49	0	30	22	0	0	1	4349
CBM	4376	143	0	0	243	100	24	68	28	2	0	59	5043
CIreland	1531	42	10	0	200	14	26	429	18	15	0	1	2286
CJ	1929	79	0	0	112	22	3	277	18	0	0	2	2442
CJCurrie	401	19	0	0	126	8	2	127	13	0	0	0	696
CJLL Wright	1867	30	0	0	59	3	7	253	4	0	0	0	2223
CLW	13924	54	0	0	3	0	0	26	0	0	0	0	14007
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	60	16	0	0	2	0	0	4	0	1	0	0	83
CRGreathouse	12	0	0	0	0	0	0	1	1	1	0	0	15
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	944	331	10	0	350	67	96	333	33	33	0	23	2220
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	17	0	0	61	34	0	178	10	0	0	0	892
CactusWriter	1725	117	0	0	23	2	0	59	4	6	0	4	1940
Cacycle	187	11	0	0	26	2	1	13	1	0	0	1	242
Cailil	120	3	0	0	33	0	2	60	12	0	0	0	230
Caknuck	2127	9	0	0	287	39	53	802	12	9	0	0	3338
Calliopejen1	3007	90	0	0	12	3	0	7	0	0	0	0	3119
Calmer Waters	9923	2	3	0	39	0	0	193	3	5	0	73	10241
Caltrop	58	22	0	0	0	0	0	7	3	0	0	0	90
CambridgeBayWeather	15761	278	1	0	233	19	143	1071	24	8	0	0	17538
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	465	15	4	0	11	0	1	184	0	8	0	0	688
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1043	34	0	0	18	5	1	24	3	0	0	0	1128
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	0	18	13	1	220	2	0	0	0	1448
Canley	902	11	0	0	1	1	0	4	0	0	0	0	919
Canterbury Tail	1889	7	0	0	92	8	10	438	23	13	0	0	2480
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	1667	162	0	0	19	7	0	49	1	1	0	1	1907
Capitalistroadster	620	1	0	0	3	0	0	23	3	0	0	0	650
Carabinieri	433	7	0	0	4	3	0	3	2	0	0	0	452
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	40	78	0	0	2	3	1	1	2	0	0	0	127
Caribbean H.Q.	366	15	0	0	73	10	8	256	20	0	0	0	748
Carioca	2747	12	0	0	7	1	1	9	0	0	0	0	2777
Carlosguitar	2924	20	0	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10576	129	0	0	27	2	0	66	6	1	0	0	10807
Carnildo	2391	98	0	0	95	18	2	62	21	0	0	3	2690
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	124	90	12	0	195	11	34	113	6	0	0	9	594
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	0	0	0	0	0	0	0	0	0	0	0	2	2
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	1715	40	0	0	91	53	20	258	17	3	0	1	2198
Cbl62	17	1	0	0	6	0	0	0	0	0	0	0	24
Cbrown1023	3423	77	0	0	404	73	7	206	32	0	0	8	4230
Cburnett	48	18	0	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	735	9	0	0	19	3	0	170	70	0	0	0	1006
Cenarium	1802	81	2	0	374	143	196	135	4	6	0	34	2777
Centrx	17225	405	0	0	1005	947	13	1334	212	0	0	0	21141
Ceranthor	38	2	0	0	0	0	0	1	0	0	0	0	41
CesarB	3606	141	0	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1779	48	0	0	4	0	0	15	2	0	0	0	1848
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	149	4	0	0	81	5	23	82	2	2	0	5	353
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1951	36	0	0	5	1	0	135	20	0	0	0	2148
Chase me ladies, I'm the Cavalry	2939	74	14	0	470	27	53	908	37	16	0	1	4539
Chaser	2284	107	2	0	321	45	39	871	121	11	0	10	3811
Ched Davis	118	9	0	0	4	0	0	11	4	0	0	4	150
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4711	213	0	0	82	15	5	140	30	0	0	1	5197
Chillum	1494	27	0	0	61	12	7	740	52	76	0	10	2479
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	12	8	0	0	0	0	0	0	0	0	0	0	20
Cholmes75	4621	10	0	0	26	0	0	112	3	0	0	0	4772
Chris 73	1934	15	0	0	63	8	1	714	30	3	0	0	2768
Chris G	6911	172	0	0	252	15	38	2944	70	232	0	11	10645
Chris Roy	3	0	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	753	19	0	0	6	1	0	20	2	0	0	0	801
Chrislk02	4106	61	0	0	134	21	8	1632	91	12	0	5	6070
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	0	43
Christopher Parham	747	10	0	0	4	2	0	24	1	0	0	0	788
Christopher Sundita	62	39	0	0	9	4	0	17	2	0	0	0	133
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	0	4	3	0	31	2	0	0	0	383
Chuq	217	19	0	0	13	2	1	93	6	0	0	0	351
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	235	10	0	0	2	5	1	4	0	0	6	5	268
Circeus	1747	8	0	0	50	27	0	155	13	0	0	0	2000
Cirt	17522	148	0	0	884	21	160	5954	39	27	0	2	24757
Citicat	719	19	0	0	24	1	0	36	4	0	0	0	803
Ck lostsword	308	4	0	0	13	1	5	308	16	0	0	0	655
Ckatz	1457	66	80	0	209	6	53	1002	18	31	0	4	2926
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	20	4	0	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	759	46	0	0	39	7	4	221	19	4	0	0	1099
Closedmouth	23169	168	0	0	104	4	14	1780	43	79	0	43	25404
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7283	93	0	0	449	24	9	469	22	5	0	0	8354
Cobi	51	0	0	0	2	0	0	4	1	0	0	1	59
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
Coffee	1414	180	1	0	180	10	119	410	15	90	0	11	2430
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6799	46	0	0	2	18	1	3	0	0	0	0	6869
Colds7ream	138	9	0	0	2	1	0	2	0	0	0	2	154
Commander Keane	4788	229	0	0	41	22	0	150	29	0	0	1	5260
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	738	23	0	0	46	3	1	354	36	1	0	0	1202
Conti	464	45	0	0	12	38	3	73	3	0	0	1	639
Cool Hand Luke	944	574	0	0	65	12	20	95	17	0	0	0	1727
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
